hanzi;pinyin;meaning;hsk_level
进行;jìnxíng;in process of;4
禁止;jìnzhǐ;prohibit;4
精彩;jīngcǎi;Marvellous;4
经济;jīngjì;Economics;4
经历;jīnglì;experience;4
经验;jīngyàn;experience;4
京剧;jīngjù;Beijing opera;4
警察;jǐngchá;Policeman;4
景色;jǐngsè;scenery;4
竟然;jìngrán;Unexpectedly;4
竞争;jìngzhēng;compete;4
镜子;jìngzi;Mirror;4
究竟;jiūjìng;exactly;4
举;jǔ;lift;4
举办;jǔbàn;hold;4
举行;jǔxíng;hold;4
拒绝;jùjué;refuse;4
距离;jùlí;distance;4
聚会;jùhuì;Party;4
开玩笑;kāiwánxiào;Make fun of;4
开心;kāixīn;Happy;4
看法;kànfǎ;view;4
考虑;kǎolǜ;Consider;4
烤鸭;kǎoyā;Roasted Duck;4
棵;kē;Tree (measure word);4
科学;kēxué;science;4
咳嗽;késou;cough;4
可怜;kělián;Poor;4
可是;kěshì;however;4
可惜;kěxī;unfortunately;4
客厅;kètīng;A living room;4
肯定;kěndìng;sure;4
空;kōng;empty;4
空气;kōngqì;air;4
恐怕;kǒngpà;I'm afraid;4
苦;kǔ;bitter;4
矿泉水;kuàngquánshuǐ;Mineral water;4
困;kùn;sleepy;4
困难;kùnnan;difficulty;4
拉;lā;pull;4
垃圾桶;lājītǒng;Trash;4
辣;là;spicy;4
来自;láizì;Come from;4
来不及;láibují;There's not enough time;4
来得及;láidejí;In time;4
懒;lǎn;lazy;4
浪费;làngfèi;Waste;4
浪漫;làngmàn;romantic;4
老虎;lǎohǔ;Tiger;4
冷静;lěngjìng;calm down;4
理发;lǐfà;Haircut;4
理解;lǐjiě;Understand;4
理想;lǐxiǎng;ideal;4
礼貌;lǐmào;politeness;4
礼拜天;lǐbàitiān;Sunday;4
厉害;lìhai;Fierce;4
力气;lìqi;Strength;4
例如;lìrú;for example;4
俩;liǎ;Two;4
连;lián;even;4
联系;liánxì;contact;4
凉快;liángkuai;Pleasantly cool;4
零钱;língqián;Small change;4
另外;lìngwài;in addition;4
留;liú;stay;4
流利;liúlì;fluent;4
流行;liúxíng;Popular;4
乱;luàn;chaos;4
旅行;lǚxíng;travel;4
律师;lǜshī;Lawyer;4
麻烦;máfan;trouble;4
马虎;mǎhu;Careless;4
满;mǎn;full;4
毛;máo;hair;4
毛巾;máojīn;Towel;4
美丽;měilì;beautiful;4
梦;mèng;dream;4
迷路;mílù;Get lost;4
密码;mìmǎ;Password;4
免费;miǎnfèi;Free of charge;4
秒;miǎo;second;4
民族;mínzú;Nation;4
母亲;mǔqīn;mother;4
目的;mùdì;objective;4
耐心;nàixīn;patience;4
难道;nándào;could it be said that …;4
难受;nánshòu;Uncomfortable;4
内;nèi;within;4
内容;nèiróng;content;4
能力;nénglì;ability;4
年龄;niánlíng;Age;4
弄;nòng;get, make;4
暖和;nuǎnhuo;warm;4
偶尔;ǒu'ěr;occasionally;4
排队;páiduì;"queue; stand in a line";4
排列;páiliè;array;4
判断;pànduàn;judge;4
陪;péi;accompany;4
批评;pīpíng;criticism;4
皮肤;pífū;skin;4
脾气;píqi;Bad temper;4
篇;piān;piece;4
骗;piàn;fool;4
乒乓球;pīngpāngqiú;Table Tennis;4
平时;píngshí;peacetime;4
破;pò;broken;4
葡萄;pútao;Grape;4
普遍;pǔbiàn;universal;4
普通话;pǔtōnghuà;Mandarin;4
其次;qícì;Secondly;4
其中;qízhōng;among;4
气候;qìhòu;climate;4
千万;qiānwàn;Must;4
签证;qiānzhèng;visa;4
敲;qiāo;knock;4
桥;qiáo;Bridge;4
巧克力;qiǎokèlì;Chocolates;4
亲戚;qīnqi;Relative;4
轻;qīng;light;4
轻松;qīngsōng;Relaxed;4
情况;qíngkuàng;Situation;4
穷;qióng;poor;4
区别;qūbié;Difference;4
取;qǔ;take;4
全部;quánbù;whole;4
缺点;quēdiǎn;shortcoming;4
缺少;quēshǎo;Lack;4
却;què;but;4
确实;quèshí;Exactly;4
然而;rán'ér;however;4
热闹;rènao;lively;4
任何;rènhé;whatever, any;4
任务;rènwu;task;4
扔;rēng;throw;4
仍然;réngrán;still;4
日记;rìjì;diary;4
入口;rùkǒu;Entrance;4
散步;sànbù;Take a walk;4
森林;sēnlín;Forest;4
沙发;shāfā;Sofa;4
商量;shāngliang;discuss;4
伤心;shāngxīn;Sad;4
稍微;shāowēi;slightly;4
勺子;sháozi;Spoon;4
社会;shèhuì;Sociology;4
深;shēn;deep;4
申请;shēnqǐng;Apply;4
甚至;shènzhì;Even to the extent that;4
生活;shēnghuó;Life;4
生命;shēngmìng;life;4
生意;shēngyi;business;4
省;shěng;province;4
剩;shèng;Left;4
失败;shībài;fail;4
失望;shīwàng;Disappointment;4
师傅;shīfu;Master worker;4
十分;shífēn;very;4
实际;shíjì;Actual;4
实在;shízài;really;4
使;shǐ;make;4
使用;shǐyòng;Use;4
是否;shìfǒu;Whether;4
适合;shìhé;Fit;4
适应;shìyìng;Adapt;4
世纪;shìjì;century;4
收;shōu;collect;4
收入;shōurù;income;4
收拾;shōushi;Tidy;4
首都;shǒudū;capital;4
首先;shǒuxiān;First;4
受不了;shòubuliǎo;Cannot bear sth;4
受到;shòudào;Suffer;4
售货员;shòuhuòyuán;Salesperson;4
输;shū;lose, fail;4
熟悉;shúxī;be familiar with;4
数量;shùliàng;Number;4
数字;shùzì;number;4
帅;shuài;Handsome;4
顺便;shùnbiàn;Incidentally;4
顺利;shùnlì;smoothly;4
顺序;shùnxù;order;4
说明;shuōmíng;Explain;4
硕士;shuòshì;master;4
死;sǐ;die;4
速度;sùdù;speed;4
塑料袋;sùliàodài;Plastic bag;4
酸;suān;acid;4
随便;suíbiàn;casual;4
随着;suízhe;along with;4
孙子;sūnzi;Grandson;4
所有;suǒyǒu;All;4
台;tái;platform;4
抬;tái;Lift;4
态度;tàidu;attitude;4
谈;tán;talk;4
弹钢琴;tángāngqín;Play the piano;4
汤;tāng;soup;4
糖;táng;sugar;4
躺;tǎng;lie;4
趟;tàng;Trip;4
讨论;tǎolùn;discuss;4
讨厌;tǎoyàn;Hate;4
特点;tèdiǎn;Characteristic;4
提;tí;carry;4
提供;tígōng;provide;4
提前;tíqián;in advance;4
提醒;tíxǐng;remind;4
填空;tiánkòng;Fill in the blanks;4
条件;tiáojiàn;condition;4
停;tíng;Stop;4
挺;tǐng;quite;4
通过;tōngguò;through;4
通知;tōngzhī;notice;4
同时;tóngshí;meanwhile;4
同情;tóngqíng;Sympathy;4
推;tuī;push;4
推迟;tuīchí;delay;4
脱;tuō;take off;4
袜子;wàzi;Socks;4
完全;wánquán;completely;4
往往;wǎngwǎng;Often;4
网球;wǎngqiú;Tennis;4
网站;wǎngzhàn;website;4
危险;wēixiǎn;danger;4
