hanzi;pinyin;Meaning;hsk_level
信用卡;xìnyòngkǎ;Credit card;3
行李箱;xínglixiāng;Trunk;3
熊猫;xióngmāo;Panda;3
需要;xūyào;Need;3
选择;xuǎnzé;Choice;3
要求;yāoqiú;Requirement;3
爷爷;yéye;grandpa;3
一定;yídìng;Certain;3
一共;yígòng;Altogether;3
一会儿;yíhuìr;a while;3
一样;yíyàng;equally;3
以前;yǐqián;before;3
一般;yìbān;commonly;3
一边;yìbiān;One side;3
一直;yìzhí;always;3
音乐;yīnyuè;Music;3
银行;yínháng;Bank;3
饮料;yǐnliào;Drinks;3
应该;yīnggāi;Should;3
影响;yǐngxiǎng;Influence;3
用;yòng;use;3
游戏;yóuxì;Game;3
有名;yǒumíng;Famous;3
又;yòu;again;3
遇到;yùdào;encounter;3
元;yuán;"element; yuan";3
愿意;yuànyì;Be willing;3
月亮;yuèliang;Moon;3
越;yuè;the more;3
站;zhàn;station;3
张;zhāng;Zhang (surname);3
长（动词）;zhǎng;grow;3
着急;zháojí;Worry;3
照顾;zhàogù;look after;3
照片;zhàopiàn;Photo;3
照相机;zhàoxiàngjī;Camera;3
只（量词）;zhī;(measure word);3
只（副词）;zhǐ;only;3
只有……才……;zhǐyǒu…cái…;only if;3
中文;zhōngwén;Chinese;3
中间;zhōngjiān;Middle;3
终于;zhōngyú;finally;3
种;zhǒng;species;3
重要;zhòngyào;important;3
周末;zhōumò;Weekend;3
主要;zhǔyào;main;3
注意;zhùyì;Be careful;3
自己;zìjǐ;Own, self;3
自行车;zìxíngchē;Bicycle;3
总是;zǒngshì;always;3
嘴;zuǐ;mouth;3
最后;zuìhòu;Last;3
最近;zuìjìn;lately;3
作业;zuòyè;homework;3
